State,number killed,number injured,no. involved
Abia,52,209,261
Adamawa,106,213,319
Akwa Ibom,43,164,207
Anambra,74,344,418
Bauchi,339,888,1227
Bayelsa,8,27,35
Benue,118,395,513
Borno,120,375,495
River,64,257,321
Delta,149,306,455
Ebonyi,68,368,436
Edo,141,487,628
Ekiti,41,101,142
Enugu,99,481,580
FCT,403,2103,2506
Gombe,107,656,763
Imo,51,235,286
Jigawa,173,1043,1216
Kaduna,680,1728,2408
Kano,363,781,1144
Katsina,168,278,446
Kebbi,117,391,508
Kogi,293,1287,1580
Kwara,237,632,869
Lagos,179,808,987
Nasarawa,270,1216,1486
Niger,367,1075,1442
Ogun,395,1737,2132
Ondo,181,593,774
Osun,118,795,913
Oyo,305,984,1289
Plateau,136,522,658
Rivers,38,156,194
Sokoto,145,259,404
Taraba,57,361,418
Yobe,193,423,616
Zamfara,58,174,232
